Numero esterno;Abbreviazione;Denominazione;Coordinata x;Coordinata y;Coordinate-Z;Pensilina autobus;Fermata di salita;Fermata di discesa;Accessibile ai disabili;Punto di cambio;Cambio direzione obbligatorio;Non controllato;Ambito d'esercizio;Gruppo tipol. veicolo;Comune;Codice del comune;Proprietario;Via;Numero civico;Tipologia fermate;Abbreviazione area di fermata;Denominazione area di fermata;Abbreviazione punto di prevendita;Denominazione punto di prevendita;Testo punti di prevendita;Abbreviazione informazioni aggiuntive;Denominazione informazioni aggiuntive;Abbreviazione area tariffaria;Denominazione area tariffaria;Codice tariffario;Tipo Pensilina;Piazzola;Di Servizio;Tipo Palina;fTariffario;fOrario
795;795;via Cadorna 1 - Cadorna Str. 1;1665307,17;5169669,03;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;CADOR1;(Merano) via Cadorna 1 - (Meran) Cadorna Str. 1;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;795
796;796;via Cadorna 2 - Cadorna Str. 2;1665443,86;5169402,59;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;CADOR2;(Merano) via Cadorna 2 - (Meran) Cadorna Str. 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2710
797;797;via Cadorna 2 - Cadorna Str. 2;1665435,617;5169318,542;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;CADOR2;(Merano) via Cadorna 2 - (Meran) Cadorna Str. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2688
798;798;Sinigo 8 - Sinich 8;1667298,429;5165766,931;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;SINIG8;(Merano) Sinigo 8 - (Meran) Sinich 8;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;33
799;799;via Roma 4 - Romstr. 4;1665589,765;5169888,525;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;ROMA4;(Merano) via Roma 4 - (Meran) Romstr. 4;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2493
800;800;Maia Bassa stazione - Untermais Bahnhof;1664440,058;5169230,906;;;X;X;;X;;X;BUS;S;Merano - Meran;39021051;;;;;MBASSA;(Merano) Maia Bassa Staz. - (Meran) Untermais Bhf;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2704
801;801;Maia Bassa stazione - Untermais Bahnhof;1664355,785;5169283,074;;;X;X;;X;;X;BUS;S;Merano - Meran;39021051;;;;;MBASSA;(Merano) Maia Bassa Staz. - (Meran) Untermais Bhf;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2694
802;802;via Piave 2 - Piavestr. 2;1665155,78;5170358,539;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;PIAVE2;(Merano) via Piave 2 - (Meran) Piavestr. 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;40
803;803;via Piave 2 - Piavestr. 2;1665151,023;5170351,895;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;PIAVE2;(Merano) via Piave 2 - (Meran) Piavestr. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;2;0;0;2476
804;804;via Scena 1 - Schennastr. 1;1666532,17;5170838,177;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;SCENA1;(Merano) via Scena 1 - (Meran) Schennastr. 1;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;2453
